velib velib_6_s200_r1_k30..30_v1 1 200
version 1.0

#remorque id     x   y   capa
remorque  r1    25  63     30

#station id     x   y   capa ideal  nbvp
station  s1    80  91      6     5     5
station  s2    76  33      7     0     7
station  s3    92  48     10     0     0
station  s4    45   4      7     4     7
station  s5     1  74     10     5    10
station  s6    84  81      8     8     8
station  s7    17  67      8     2     6
station  s8    64  79      5     3     2
station  s9    70  89      8     5     5
station  s10   14   7      5     0     3
station  s11   27  95     10     5     7
station  s12   71  50      8     1     0
station  s13    3   8      6     4     4
station  s14   72  32      8     5     8
station  s15   90  38      8     1     8
station  s16   43  18     10     0    10
station  s17   10  47      5     4     3
station  s18   40   8      9     1     4
station  s19    1  95      6     4     2
station  s20   75  34      5     3     2
station  s21   96  84      7     2     2
station  s22   59  72      7     7     5
station  s23   31   4      9     9     5
station  s24   65  90     10     6     3
station  s25   20  17      6     6     3
station  s26    4  74      8     5     3
station  s27   67  35      6     6     5
station  s28   58  65      9     8     1
station  s29    5  37      8     2     7
station  s30   85  87      7     0     0
station  s31   49  80     10     7     8
station  s32   43  12      9     6     2
station  s33   34   4      9     2     0
station  s34   28  87      6     1     3
station  s35   85  44      6     3     1
station  s36   35  78      7     3     1
station  s37   19  82      5     1     1
station  s38   94  51      5     0     3
station  s39   43  19      7     1     5
station  s40    7  13      7     4     6
station  s41   91  57      7     2     4
station  s42   59  17      6     4     6
station  s43   75  85      8     1     1
station  s44   81  91      5     4     5
station  s45   82   1      5     1     1
station  s46   90  46      6     5     0
station  s47   59  99      9     9     5
station  s48   27   4     10     3     5
station  s49   65  42      9     9     5
station  s50   85  89     10     2     1
station  s51    0   7      6     0     0
station  s52   48  78      6     2     4
station  s53   66  57      9     6     4
station  s54   35  33      8     0     1
station  s55    0  33      5     0     0
station  s56   29  75      8     4     1
station  s57    0  65      6     5     6
station  s58   38  94      9     5     3
station  s59   48  63      7     3     3
station  s60   13  78      6     4     1
station  s61   51  23      8     8     4
station  s62   94  24      7     6     1
station  s63   55   3      8     0     5
station  s64   99   1      9     3     5
station  s65   26   5      6     6     3
station  s66   44  29      7     4     1
station  s67   55  23     10     0     1
station  s68   15  54      6     2     3
station  s69   17  69      8     8     3
station  s70   62  22      9     5     4
station  s71   59  50      8     0     2
station  s72   89  67     10     9     7
station  s73   69  51      8     1     3
station  s74    2  70      8     8     3
station  s75   48  77     10     6     7
station  s76    9  84      9     9     9
station  s77   66  83      5     5     0
station  s78   75  58     10    10     6
station  s79   98   2      9     2     5
station  s80   70  75      6     2     1
station  s81   34  65      9     4     9
station  s82   82  62     10     6     0
station  s83   61  64     10     7     5
station  s84   42  62      9     6     5
station  s85    4  34      8     3     7
station  s86   80  49      9     1     3
station  s87   32  82      5     3     4
station  s88   28  88      6     4     0
station  s89    6  28      6     5     1
station  s90   43  82      5     5     1
station  s91   41  68     10     7     7
station  s92   38  54     10    10    10
station  s93   61  88     10     1     2
station  s94   81  83      9     1     3
station  s95   28  12      8     7     5
station  s96    8  59     10    10     5
station  s97    5  52     10    10     8
station  s98   22  25     10     0     9
station  s99   96  47      6     2     6
station  s100  77  31      7     4     6
station  s101  72  98      5     5     0
station  s102  56  63     10     8     7
station  s103  34  31     10     3     8
station  s104   7  48      7     4     6
station  s105   5  86     10     5    10
station  s106  72  74      9     6     2
station  s107  47  33      5     5     4
station  s108  30  78     10     5     5
station  s109  82  10      9     6     6
station  s110  13  12      6     3     4
station  s111  10  78      7     7     1
station  s112  91  90      6     3     6
station  s113   4  48      5     5     4
station  s114  66  28      9     6     0
station  s115  76  89      8     2     7
station  s116  38  62     10     1     6
station  s117  67   7      6     0     6
station  s118  64  32      8     8     4
station  s119  74   2      6     6     0
station  s120  71  28      8     0     5
station  s121  35  13      9     3     8
station  s122  62  83      9     5     3
station  s123  29  29      8     4     4
station  s124  14   6      9     4     3
station  s125   9  75      8     2     0
station  s126  59  91      5     5     1
station  s127  66  84      7     2     6
station  s128  11  23     10     8     4
station  s129  47  40      8     6     0
station  s130  52  60      5     3     5
station  s131  48  18      9     6     3
station  s132  27   8      5     5     4
station  s133  97  57      8     1     5
station  s134  13  53      9     9     8
station  s135  66  47      9     3     3
station  s136  70   8      5     3     1
station  s137  54  71      7     2     5
station  s138  83  90      6     0     2
station  s139  42  70      9     1     9
station  s140  54  42      8     4     7
station  s141  37  10     10     2     5
